,Unnamed: 0_df1,class_df1,0_df1,1_df1,2_df1,3_df1,4_df1,image_id,conf_score_df1,iou_score_df1,predicted_class_df1,ispion_df1,ispionpred_df1,result_df1,detected_df1,id,Unnamed: 0_df2,class_df2,0_df2,1_df2,2_df2,3_df2,4_df2,conf_score_df2,iou_score_df2,predicted_class_df2,ispion_df2,ispionpred_df2,result_df2,detected_df2,difference
10,169,4,0.0,0.0,0.0,0.0,0.9990000128746032,54,0.9857839941978456,0.6666666666666666,4,1,1,TP,1,0,173,4,0.0325806699693203,0.0186521336436271,0.3241874277591705,0.0901999771595001,0.5113276243209839,0.5113276243209839,0.800000011920929,4,1,1,TP,1,1.9537376143157188
11,177,4,0.0010000000474974,0.0,0.0,0.0,0.9990000128746032,56,0.9556999802589417,1.0,4,1,1,TP,1,0,181,4,0.0112907467409968,0.0102336136624217,0.0143319014459848,0.0422914698719978,0.9153358340263368,0.9153358340263368,0.8333333134651184,4,1,1,TP,1,1.0914027133410131
12,187,4,0.0,0.0,0.0,0.0,0.99099999666214,61,0.9500300288200378,0.8125,4,1,1,TP,1,0,197,4,0.0013111911248415,0.0004926468827761,0.0022578833159059,0.0269204620271921,0.7075849175453186,0.7075849175453186,0.5692307949066162,4,1,1,TP,1,1.400538609697923
13,193,4,0.0,0.0010000000474974,0.0,0.0,0.9850000143051147,63,0.9451860189437866,0.8333333333333334,4,1,1,TP,1,0,203,4,0.0126821193844079,0.0190896727144718,0.0472775101661682,0.6457315683364868,0.2220655977725982,0.6457315683364868,0.5,3,1,0,FN,1,4.435626338275882
14,202,4,0.0,0.0,0.0,0.0,0.9539999961853028,66,0.906561017036438,1.0,4,1,1,TP,1,1,216,4,0.033018309623003,0.06142333522439,0.2394308745861053,0.4753045439720154,0.1505225449800491,0.4753045439720154,0.5,3,1,0,FN,1,6.337920982612605
15,205,4,0.0,0.0010000000474974,0.0,0.0010000000474974,0.9470000267028807,67,0.9139429926872252,1.0,4,1,1,TP,1,1,219,4,0.0118678193539381,0.0352520383894443,0.0078230779618024,0.7689958214759827,0.1506644636392593,0.7689958214759827,0.625,3,1,0,FN,1,6.285490312900279
16,206,4,0.0,0.0,0.0,0.0,0.9980000257492064,69,0.9675809741020204,1.0,4,1,1,TP,1,0,224,4,0.0032426537945866,0.0099655520170927,0.2291009128093719,0.0730936750769615,0.6032751202583313,0.6032751202583313,0.7142857313156128,4,1,1,TP,1,1.6543033057982701
17,218,4,0.0,0.0020000000949949,0.0010000000474974,0.0010000000474974,0.7409999966621399,72,0.7137100100517273,0.6666666666666666,4,1,1,TP,1,1,236,4,0.0003928312507923,0.5573259592056274,0.0736545324325561,0.0022534437011927,0.2507816851139068,0.5573259592056274,0.5,1,1,0,FN,1,2.9547612152202123
18,239,4,0.0320000015199184,0.0,0.0,0.0,0.9670000076293944,78,0.9540179967880248,1.0,4,1,1,TP,1,0,257,4,0.0338709242641925,0.031155252829194,0.0548682548105716,0.1559444218873977,0.7059687376022339,0.7059687376022339,0.75,4,1,1,TP,1,1.3697490499561387
19,242,4,0.0,0.0,0.0,0.0,0.9959999918937684,79,0.9437080025672911,1.0,4,1,1,TP,1,0,260,4,0.0064231478609144,0.021322613582015,0.1114941909909248,0.0397178716957569,0.7915754914283752,0.7915754914283752,0.6000000238418579,4,1,1,TP,1,1.2582501639818522
20,253,4,0.0,0.0020000000949949,0.0020000000949949,0.0,0.977999985218048,82,0.9305379986763,1.0,4,1,1,TP,1,0,271,4,0.001231497968547,0.8237864971160889,0.0091208154335618,0.0051903780549764,0.1570741832256317,0.8237864971160889,0.5,1,1,0,FN,1,6.226357286309644
21,257,4,0.0,0.003000000026077,0.0020000000949949,0.0020000000949949,0.9860000014305116,83,0.9496999979019164,0.875,4,1,1,TP,1,0,275,4,0.0055787386372685,0.0424240566790103,0.1946789026260376,0.0294713992625474,0.6413785219192505,0.6413785219192505,0.5405405163764954,4,1,1,TP,1,1.5373137199543594
22,267,4,0.0,0.0,0.0,0.0,0.9950000047683716,86,0.9541029930114746,0.6666666666666666,4,1,1,TP,1,0,287,0,0.0062686051242053,0.0068697654642164,0.4898770749568939,0.0649377554655075,0.3489772379398346,0.4898770749568939,0.5,2,0,0,TN,1,2.8511888358171786
23,274,4,0.0,0.0,0.0,0.0,0.9990000128746032,88,0.9728310108184814,0.8333333333333334,4,1,1,TP,1,0,292,4,0.0038518789224326,0.0047302306629717,0.2049022763967514,0.0069501046091318,0.7752885222434998,0.7752885222434998,0.875,4,1,1,TP,1,1.2885525636104296
24,277,2,0.0,0.0,0.0010000000474974,0.0,0.972000002861023,89,0.9550489783287048,1.0,4,0,1,FP,1,0,295,2,0.0023498581722378,0.0026826974935829,0.7969067692756653,0.0142015889286994,0.1638427674770355,0.7969067692756653,0.6666666865348816,2,0,0,TN,1,5.932516996804637
25,283,4,0.0,0.0,0.0,0.0,0.9990000128746032,93,0.9595029950141908,0.875,4,1,1,TP,1,1,308,4,0.0004483220691327,0.0015242180088534,0.004050204064697,0.0015695783076807,0.9761812090873718,0.9761812090873718,0.5454545617103577,4,1,1,TP,1,1.0233755818846018
26,348,4,0.0010000000474974,0.0,0.0,0.0040000001899898,0.9869999885559082,111,0.9762709736824036,1.0,4,1,1,TP,1,0,376,4,0.0989130362868309,0.0773869827389717,0.0766496583819389,0.4100854992866516,0.231341540813446,0.4100854992866516,0.6666666865348816,3,1,0,FN,1,4.266419187342691
27,361,4,0.0010000000474974,0.003000000026077,0.0099999997764825,0.0020000000949949,0.6790000200271606,116,0.6443719863891602,0.6666666666666666,4,1,1,TP,1,0,392,4,0.0473130345344543,0.0377374924719333,0.0722663328051567,0.0986242890357971,0.6915260553359985,0.6915260553359985,0.5714285969734192,4,1,1,TP,1,0.9818863870534108
28,366,4,0.0,0.0,0.0,0.0,0.9990000128746032,117,0.9655179977416992,0.9,4,1,1,TP,1,0,397,4,0.0028171273879706,0.1172156780958175,0.0246333051472902,0.0127072669565677,0.8357160091400146,0.8357160091400146,0.692307710647583,4,1,1,TP,1,1.1953821656505232
29,387,4,0.0,0.0,0.0,0.0,0.9950000047683716,123,0.9351109862327576,0.5714285714285714,4,1,1,TP,1,0,421,2,0.0033290556166321,0.0041654468514025,0.7506676912307739,0.0144684445112943,0.1693052500486374,0.7506676912307739,0.6666666865348816,2,0,0,TN,1,5.876958951258343
30,442,4,0.0010000000474974,0.0,0.0,0.0,0.968999981880188,139,0.943792998790741,0.7,4,1,1,TP,1,0,476,4,0.0098617561161518,0.0135718816891312,0.369837999343872,0.0348850898444652,0.3496382236480713,0.369837999343872,0.5384615659713745,2,1,0,FN,1,2.7714360625957646
31,445,4,0.0080000003799796,0.0,0.003000000026077,0.0,0.9300000071525574,141,0.8778020143508911,0.5555555555555556,4,1,1,TP,1,0,482,4,0.0341316573321819,0.0342292450368404,0.0693942382931709,0.1401179879903793,0.5774990320205688,0.5774990320205688,0.7142857313156128,4,1,1,TP,1,1.6103923220419067
32,448,4,0.0,0.006000000052154,0.0010000000474974,0.0,0.9679999947547911,142,0.9255279898643494,0.8181818181818182,4,1,1,TP,1,0,485,4,0.0031222116667777,0.2849420011043548,0.0268210843205451,0.0030594349373131,0.6472600698471069,0.6472600698471069,0.5652173757553101,4,1,1,TP,1,1.495534855075253
33,455,4,0.0010000000474974,0.003000000026077,0.0,0.0,0.977999985218048,145,0.9499689936637878,0.875,4,1,1,TP,1,0,494,4,0.0026424319949001,0.0145685616880655,0.0904724299907684,0.0212906207889318,0.8629599809646606,0.8629599809646606,0.7777777910232544,4,1,1,TP,1,1.1333086200877933
34,458,4,0.0,0.0049999998882412,0.0,0.0,0.9819999933242798,146,0.9403910040855408,1.0,4,1,1,TP,1,1,497,4,0.0341424718499183,0.5250582695007324,0.0209085512906312,0.0250547062605619,0.3718183636665344,0.5250582695007324,0.6363636255264282,1,1,0,FN,1,2.6410744849734944
35,467,3,0.0,0.0010000000474974,0.0,0.0,0.9959999918937684,148,0.9863349795341492,1.0,4,0,1,FP,1,1,506,3,0.0444368794560432,0.0861905142664909,0.0159559156745672,0.4916507601737976,0.346658855676651,0.4916507601737976,0.800000011920929,3,0,0,TN,1,2.873141636464628
36,484,4,0.0,0.0010000000474974,0.0010000000474974,0.0,0.949999988079071,153,0.9222040176391602,0.7777777777777778,4,1,1,TP,1,1,523,4,0.001984822563827,0.0091963047161698,0.0108230011537671,0.0086483489722013,0.6701568961143494,0.6701568961143494,0.800000011920929,4,1,1,TP,1,1.417578470933129
37,495,4,0.0,0.0010000000474974,0.0,0.0,0.996999979019165,156,0.974718987941742,0.8,4,1,1,TP,1,2,537,4,0.0125332223251461,0.0634330287575721,0.1065119206905365,0.0709849596023559,0.6789004802703857,0.6789004802703857,0.5,4,1,1,TP,1,1.4685509997313446
38,512,4,0.0,0.003000000026077,0.0,0.0,0.9200000166893004,161,0.8313360214233398,0.6363636363636364,4,1,1,TP,1,0,554,4,0.0114579480141401,0.7544939517974854,0.0103848138824105,0.0051549850031733,0.1811384856700897,0.7544939517974854,0.5,1,1,0,FN,1,5.078987015298949
39,536,4,0.0,0.0,0.0,0.0,0.9990000128746032,168,0.9589110016822816,0.9285714285714286,4,1,1,TP,1,0,578,4,0.0053607919253408,0.0107046496123075,0.0043281656689941,0.0153634902089834,0.859321653842926,0.859321653842926,0.7333333492279053,4,1,1,TP,1,1.162544907843331
40,543,4,0.0,0.0280000008642673,0.0,0.0,0.9380000233650208,170,0.8967790007591248,0.9375,4,1,1,TP,1,0,585,4,0.0056084254756569,0.0693954229354858,0.0196959841996431,0.0059563382528722,0.8223385214805603,0.8223385214805603,0.7213114500045776,4,1,1,TP,1,1.1406495000090964
41,547,1,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.9179999828338624,171,0.8755620121955872,0.9,4,0,1,FP,1,0,589,1,0.0048315795138478,0.7348810434341431,0.0112382816150784,0.0143026355654001,0.1683784872293472,0.7348810434341431,0.5625,1,0,0,TN,1,5.452002794059201
42,562,4,0.0,0.0,0.0,0.0,0.996999979019165,176,0.9826899766921996,1.0,4,1,1,TP,1,1,604,4,0.0031511364504694,0.0055574998259544,0.2098612487316131,0.0097782295197248,0.6365698575973511,0.6365698575973511,0.7142857313156128,4,1,1,TP,1,1.5662067047632602
43,575,4,0.0,0.0,0.0,0.0,0.9980000257492064,179,0.9848639965057372,1.0,4,1,1,TP,1,2,617,4,0.0381820425391197,0.0459538474678993,0.0813145786523819,0.1505889296531677,0.659991979598999,0.659991979598999,0.75,4,1,1,TP,1,1.5121396268414897
44,583,4,0.0,0.0070000002160668,0.0040000001899898,0.0,0.9269999861717224,182,0.8781049847602844,1.0,4,1,1,TP,1,0,625,4,0.0003486755595076,0.1166466549038887,0.0852249413728714,0.000559413107112,0.7714083790779114,0.7714083790779114,0.6499999761581421,4,1,1,TP,1,1.2016981035126875
45,586,4,0.0,0.0020000000949949,0.0010000000474974,0.0,0.9890000224113464,183,0.9479690194129944,0.9411764705882352,4,1,1,TP,1,0,628,4,0.0014387614792212,0.0936911329627037,0.0268210805952548,0.0074140029028058,0.8229658603668213,0.8229658603668213,0.6818181872367859,4,1,1,TP,1,1.2017509717481094
46,611,4,0.0,0.0,0.0,0.0,0.9929999709129332,191,0.9613509774208068,0.875,4,1,1,TP,1,1,657,2,0.0009147427626885,0.0095849959179759,0.7201314568519592,0.0311022587120533,0.1421443969011306,0.7201314568519592,0.5,2,0,0,TN,1,6.985853769555338
47,654,4,0.0,0.0040000001899898,0.0,0.0,0.9900000095367432,204,0.94200199842453,1.0,4,1,1,TP,1,0,701,4,0.0002431221364531,0.0938558429479599,0.1562821120023727,0.0003099380119238,0.7290632724761963,0.7290632724761963,0.5737704634666443,4,1,1,TP,1,1.3579068469246836
48,657,4,0.0,0.0020000000949949,0.0130000002682209,0.0,0.9359999895095824,205,0.86211097240448,0.7,4,1,1,TP,1,0,706,2,0.005884364247322,0.0072184801101684,0.613937497138977,0.0321955531835556,0.1931808441877365,0.613937497138977,0.5,2,0,0,TN,1,4.845200845069097
49,663,4,0.0,0.0,0.0,0.0,0.9980000257492064,207,0.9646940231323242,0.9166666666666666,4,1,1,TP,1,0,710,4,0.002177215879783,0.0402686484158039,0.0214097183197736,0.001922738039866,0.914447546005249,0.914447546005249,0.7727272510528564,4,1,1,TP,1,1.0913693520300374
50,667,4,0.0,0.0,0.0,0.0,0.9990000128746032,208,0.9832239747047424,0.8888888888888888,4,1,1,TP,1,0,714,4,0.0097320266067981,0.0608130916953086,0.1242283582687377,0.0370246917009353,0.7638340592384338,0.7638340592384338,0.8214285969734192,4,1,1,TP,1,1.3078757104267347
51,683,1,0.0,0.0020000000949949,0.0,0.0,0.9430000185966492,213,0.9032520055770874,1.0,4,0,1,FP,1,0,730,1,0.0008547341567464,0.8441300392150879,0.0048295548185706,0.0005516420933417,0.1482683420181274,0.8441300392150879,0.6521739363670349,1,0,0,TN,1,6.360090129566278
52,689,4,0.0010000000474974,0.0020000000949949,0.0010000000474974,0.0020000000949949,0.8610000014305115,216,0.82676100730896,1.0,4,1,1,TP,1,1,737,4,0.1187316626310348,0.217319056391716,0.0074446508660912,0.3803844749927521,0.2499618083238601,0.3803844749927521,0.7272727489471436,3,1,0,FN,1,3.4445262146406255
53,694,1,0.0,0.0109999999403953,0.0189999993890523,0.0,0.6060000061988831,218,0.5829150080680847,0.7692307692307693,4,0,1,FP,1,0,742,1,0.0032129995524883,0.207142561674118,0.0098658353090286,0.0091860126703977,0.7607052326202393,0.7607052326202393,0.7142857313156128,4,0,1,FP,1,0.7966292069682812
54,695,4,0.0,0.0,0.0010000000474974,0.0,0.9819999933242798,218,0.94862300157547,0.8181818181818182,4,1,1,TP,1,1,743,4,0.0020050725433975,0.002125752158463,0.0024478810373693,0.0069881402887403,0.8499085307121277,0.8499085307121277,0.5306122303009033,4,1,1,TP,1,1.1554184454431518
55,702,4,0.0070000002160668,0.0,0.0,0.0,0.9900000095367432,221,0.9696999788284302,1.0,4,1,1,TP,1,1,753,4,0.0089890994131565,0.0181057304143905,0.0618698857724666,0.0534956865012645,0.8518422842025757,0.8518422842025757,0.7727272510528564,4,1,1,TP,1,1.1621869774444213
56,705,4,0.0,0.0,0.0010000000474974,0.0,0.9549999833106996,222,0.925849974155426,0.8,4,1,1,TP,1,0,756,4,0.0013600159436464,0.0245099272578954,0.0729098543524742,0.1303374171257019,0.7122007012367249,0.7122007012367249,0.5,4,1,1,TP,1,1.3409141294755225
57,710,4,0.0,0.0010000000474974,0.0,0.0,0.9980000257492064,224,0.9789819717407228,1.0,4,1,1,TP,1,0,761,4,0.0688251033425331,0.0947193801403045,0.0474103316664695,0.3744477331638336,0.3234643936157226,0.3744477331638336,0.6875,3,1,0,FN,1,3.085347399735242
58,731,4,0.0,0.0020000000949949,0.0,0.0,0.9959999918937684,233,0.9600620269775392,1.0,4,1,1,TP,1,1,788,4,0.0048715695738792,0.1203942373394966,0.0144104016944766,0.0033002728596329,0.825232744216919,0.825232744216919,0.7777777910232544,4,1,1,TP,1,1.2069322247251522
59,732,4,0.0,0.0020000000949949,0.0,0.0,0.996999979019165,234,0.9542700052261353,1.0,4,1,1,TP,1,0,789,4,0.0091180326417088,0.0848683416843414,0.0102689210325479,0.1773442775011062,0.7007632851600647,0.7007632851600647,0.75,4,1,1,TP,1,1.4227343243181405
60,750,4,0.0020000000949949,0.0,0.0,0.0,0.9919999837875366,240,0.9688469767570496,1.0,4,1,1,TP,1,1,810,4,0.0004948973073624,0.0027441114652901,0.0435442104935646,0.0097543383017182,0.6281247735023499,0.6281247735023499,0.7142857313156128,4,1,1,TP,1,1.579304026262587
61,761,4,0.0010000000474974,0.0,0.0,0.0,0.9980000257492064,245,0.9766550064086914,0.75,4,1,1,TP,1,0,822,4,0.0158833786845207,0.0181179195642471,0.1709842830896377,0.1547972708940506,0.6283077001571655,0.6283077001571655,0.75,4,1,1,TP,1,1.5883937527736263
62,798,4,0.0,0.003000000026077,0.0,0.0,0.9959999918937684,255,0.9564200043678284,0.9090909090909092,4,1,1,TP,1,0,862,4,0.0022074927110224,0.1288198232650756,0.0370442830026149,0.0095487358048558,0.7893394827842712,0.7893394827842712,0.625,4,1,1,TP,1,1.2618144836497152
63,812,4,0.0,0.0010000000474974,0.0010000000474974,0.0,0.9290000200271606,259,0.8863189816474915,0.8571428571428571,4,1,1,TP,1,1,876,4,0.0015083218459039,0.0048319399356842,0.2090224325656891,0.3112875819206238,0.2338540107011795,0.3112875819206238,0.5,3,1,0,FN,1,3.9725639822968195
64,830,4,0.0,0.0020000000949949,0.0,0.0,0.975000023841858,266,0.9339789748191832,0.8571428571428571,4,1,1,TP,1,0,897,4,0.0015318688238039,0.0435558855533599,0.0087810503318905,0.012182923965156,0.8501601815223694,0.8501601815223694,0.7058823704719543,4,1,1,TP,1,1.1468427303851607
65,832,4,0.0,0.0040000001899898,0.0,0.0,0.9829999804496764,267,0.9577419757843018,0.9090909090909092,4,1,1,TP,1,0,899,4,0.0055183926597237,0.2374436855316162,0.1408093273639679,0.0432606004178524,0.542575478553772,0.542575478553772,0.7142857313156128,4,1,1,TP,1,1.8117294630967296
66,841,4,0.0,0.0010000000474974,0.0,0.0,0.9959999918937684,269,0.9454600214958192,1.0,4,1,1,TP,1,1,908,4,0.0322712361812591,0.0441974028944969,0.0076967598870396,0.1435749679803848,0.7478073239326477,0.7478073239326477,0.8947368264198303,4,1,1,TP,1,1.3318938716137454
67,873,4,0.0,0.0,0.0,0.0,0.9990000128746032,281,0.964035987854004,0.875,4,1,1,TP,1,0,944,4,0.0019859967287629,0.0178603660315275,0.2878061532974243,0.0190428867936134,0.6280053853988647,0.6280053853988647,0.5384615659713745,4,1,1,TP,1,1.590750710266774
68,889,4,0.0,0.0010000000474974,0.0,0.0,0.9919999837875366,287,0.9319210052490234,0.6666666666666666,4,1,1,TP,1,0,968,4,0.0756913498044014,0.0340396836400032,0.0075245569460093,0.1611562222242355,0.5633373260498047,0.5633373260498047,0.8461538553237915,4,1,1,TP,1,1.7609342358752806
69,894,4,0.0,0.0,0.0,0.0,0.9869999885559082,288,0.9298020005226136,0.6,4,1,1,TP,1,0,970,4,0.0032085990533232,0.0052864616736769,0.0634340643882751,0.1009323894977569,0.6432019472122192,0.6432019472122192,0.5,4,1,1,TP,1,1.5345102620316782
70,902,4,0.0010000000474974,0.0070000002160668,0.0,0.0010000000474974,0.9869999885559082,291,0.9381610155105592,1.0,4,1,1,TP,1,0,978,4,0.0305968895554542,0.2610211074352264,0.0246036574244499,0.1059319153428077,0.5580151081085205,0.5580151081085205,0.8666666746139526,4,1,1,TP,1,1.7687692935438595
71,909,4,0.0,0.0010000000474974,0.0,0.0,0.953000009059906,293,0.9092249870300292,0.8571428571428571,4,1,1,TP,1,1,985,4,0.0005116133252158,0.0150760859251022,0.0156900379806756,0.0004428472311701,0.7133451104164124,0.7133451104164124,0.5223880410194397,4,1,1,TP,1,1.3359592645186789
72,945,4,0.0,0.0,0.0,0.0,0.9959999918937684,307,0.9581549763679504,0.8571428571428571,4,1,1,TP,1,0,1027,4,0.0007757728453725,0.0498123355209827,0.0773889124393463,0.0133352130651474,0.8422417044639587,0.8422417044639587,0.6000000238418579,4,1,1,TP,1,1.1825583874734256
73,997,4,0.0,0.0020000000949949,0.0,0.0,0.9959999918937684,323,0.9114140272140504,0.925925925925926,4,1,1,TP,1,0,1082,4,0.0005491792690008,0.5759113430976868,0.0421716570854187,0.0002585997863207,0.3006712794303894,0.5759113430976868,0.5111111402511597,1,1,0,FN,1,3.3125877329575792
74,1001,1,0.0,0.0080000003799796,0.0010000000474974,0.0,0.984000027179718,324,0.931344985961914,1.0,4,0,1,FP,1,0,1086,1,0.0005188198410905,0.0425402410328388,0.7134389281272888,0.0001488046400481,0.2158332914113998,0.7134389281272888,0.5714285969734192,2,0,0,TN,1,4.559074370524775
75,1005,1,0.0,0.0080000003799796,0.0,0.0,0.9860000014305116,325,0.9402449727058412,0.9285714285714286,4,0,1,FP,1,0,1090,1,0.0002000969398068,0.0481246449053287,0.1483543515205383,0.001078734989278,0.7759048938751221,0.7759048938751221,0.5833333134651184,4,0,1,FP,1,1.2707743039306094
76,1014,4,0.0,0.0,0.0010000000474974,0.0,0.9950000047683716,327,0.9524980187416076,1.0,4,1,1,TP,1,1,1098,2,0.0012443129671737,0.0051273144781589,0.7270910739898682,0.0277045704424381,0.1993285119533538,0.7270910739898682,0.5,2,0,0,TN,1,4.991759558217232
77,1025,4,0.0,0.0,0.0,0.0,0.9980000257492064,331,0.9770219922065736,1.0,4,1,1,TP,1,0,1114,4,0.0030290037393569,0.0534812770783901,0.0595151036977767,0.0211526472121477,0.8410233855247498,0.8410233855247498,0.5,4,1,1,TP,1,1.1866495544907023
78,1057,4,0.0,0.0,0.0010000000474974,0.0,0.9879999756813048,342,0.945277988910675,1.0,4,1,1,TP,1,0,1146,4,0.0153749473392963,0.2327432334423065,0.1542197912931442,0.0220159478485584,0.49290531873703,0.49290531873703,0.7272727489471436,4,1,1,TP,1,2.0044417013248195
79,1060,4,0.0,0.0,0.0010000000474974,0.0,0.9959999918937684,343,0.9512389898300172,1.0,4,1,1,TP,1,0,1149,4,0.1720384061336517,0.2262187153100967,0.086797222495079,0.0724313706159591,0.3586665391921997,0.3586665391921997,0.5,4,1,1,TP,1,2.7769526372239564
80,1103,4,0.0,0.003000000026077,0.0010000000474974,0.0,0.9950000047683716,355,0.9556959867477416,1.0,4,1,1,TP,1,0,1196,4,0.0123680597171187,0.2079996019601822,0.450372964143753,0.0169856511056423,0.283168613910675,0.450372964143753,0.6000000238418579,2,1,0,FN,1,3.513807519226839
81,1106,4,0.0,0.0,0.0,0.0,0.9980000257492064,356,0.96355801820755,1.0,4,1,1,TP,1,0,1199,4,0.0059732780791819,0.0383006110787391,0.1328441053628921,0.0164566077291965,0.7675248384475708,0.7675248384475708,0.8214285969734192,4,1,1,TP,1,1.3002836856300375
82,1109,4,0.0,0.0,0.0,0.0,0.9980000257492064,357,0.9740080237388612,1.0,4,1,1,TP,1,0,1202,4,0.0008907801820896,0.0066657532006502,0.6338821649551392,0.0653971582651138,0.2776758372783661,0.6338821649551392,0.5714285969734192,2,1,0,FN,1,3.594119083356632
83,1114,4,0.0,0.006000000052154,0.0010000000474974,0.0350000001490116,0.746999979019165,359,0.6852430105209351,1.0,4,1,1,TP,1,0,1207,4,0.0278595183044672,0.0466692671179771,0.0244889669120311,0.046686578541994,0.6748691201210022,0.6748691201210022,0.5199999809265137,4,1,1,TP,1,1.1068812555614191
84,1120,2,0.0,0.0,0.0020000000949949,0.0,0.9580000042915344,361,0.908402979373932,1.0,4,0,1,FP,1,0,1213,2,0.0008995693060569,0.0065133208408951,0.7918011546134949,0.0054746251553297,0.1716478019952774,0.7918011546134949,0.5789473652839661,2,0,0,TN,1,5.581195874083446
85,1137,4,0.0,0.0,0.0,0.0,0.9990000128746032,366,0.9642450213432312,0.8333333333333334,4,1,1,TP,1,0,1230,4,0.0117040621116757,0.0138696078211069,0.0394439250230789,0.0198625177145004,0.9101352095603944,0.9101352095603944,0.875,4,1,1,TP,1,1.0976391226058944
86,1162,4,0.0,0.0020000000949949,0.0070000002160668,0.0040000001899898,0.9509999752044678,373,0.895097017288208,1.0,4,1,1,TP,1,1,1255,4,0.0320925004780292,0.0781416222453117,0.4443826675415039,0.027930473908782,0.3247137665748596,0.4443826675415039,0.5,2,1,0,FN,1,2.9287331585469567
87,1170,1,0.0,0.0049999998882412,0.0010000000474974,0.0,0.99099999666214,376,0.9448509812355042,1.0,4,0,1,FP,1,1,1263,1,0.0005444099660962,0.6745103597640991,0.0554625689983367,0.0004858998872805,0.2361565977334976,0.6745103597640991,0.5,1,0,0,TN,1,4.196368029405988
88,1174,4,0.0,0.0010000000474974,0.0010000000474974,0.0,0.9950000047683716,378,0.9378600120544434,0.8333333333333334,4,1,1,TP,1,0,1267,4,0.0006767099257558,0.0093256216496229,0.0765892937779426,0.0148137751966714,0.8452404141426086,0.8452404141426086,0.5,4,1,1,TP,1,1.177179874648653
89,1180,1,0.0,0.0080000003799796,0.0010000000474974,0.0,0.9300000071525574,380,0.867385983467102,0.9615384615384616,4,0,1,FP,1,1,1273,1,0.0006755839567631,0.6127678155899048,0.1370394229888916,0.0001597417431185,0.2148813158273697,0.6127678155899048,0.6097561120986938,1,0,0,TN,1,4.327970552356894
